Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180926,9:06,9,1,38,LICOR-193,One-point,Sunny/Clouds
20180926,9:05,10,1,53,LICOR-193,One-point,Sunny/Clouds
20180926,9:04,11,1,81,LICOR-193,One-point,Sunny/Clouds
20180926,9:01,12,1,285,LICOR-193,One-point,Sunny/Clouds
20180927,8:57,1,1,50,LICOR-193,One-point,Sunny/Clouds
20180927,8:57,2,1,48,LICOR-193,One-point,Sunny/Clouds
20180927,8:55,3,1,43,LICOR-193,One-point,Sunny/Clouds
20180927,8:54,4,1,38,LICOR-193,One-point,Sunny/Clouds
20180927,8:53,5,1,46,LICOR-193,One-point,Sunny/Clouds
20180927,8:53,6,2,90,LICOR-193,One-point,Sunny/Clouds
20180927,8:47,7,1,32,LICOR-193,One-point,Sunny/Clouds
20180927,8:48,8,1,38,LICOR-193,One-point,Sunny/Clouds
20180927,8:50,9,1,38,LICOR-193,One-point,Sunny/Clouds
20180927,8:50,10,1,43,LICOR-193,One-point,Sunny/Clouds
20180927,NA,11,1,NA,LICOR-193,One-point,Sunny/Clouds
20180927,8:52,12,1,358,LICOR-193,One-point,Sunny/Clouds
20180929,12:00,1,1,169,LICOR-193,One-point,Sunny
20180929,11:59,2,1,534,LICOR-193,One-point,Sunny
20180929,11:58,3,1,716,LICOR-193,One-point,Sunny
20180929,11:52,4,1,187,LICOR-193,One-point,Cloudy
20180929,11:54,5,1,232,LICOR-193,One-point,Cloudy
20180929,11:57,6,2,175,LICOR-193,One-point,Cloudy
20180929,12:01,7,1,241,LICOR-193,One-point,Sunny
20180929,12:00,8,1,235,LICOR-193,One-point,Sunny
20180929,11:58,9,1,588,LICOR-193,One-point,Sunny
20180929,11:53,10,1,188,LICOR-193,One-point,Cloudy
